key,artist,song,duration_ms,length,explicit,year,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,genre,Cleaned genre,Location
Attribute,Beyonc̩,"Me, Myself and I",301133,5.01,FALSE,2003,62,0.75,0.458,1,-9.092,1,0.0803,0.226,3.25E-05,0.137,0.536,83.61,"pop, R&B",pop,US
Attribute,Outkast,The Way You Move (feat. Sleepy Brown),234000,3.54,TRUE,2003,66,0.871,0.597,5,-4.932,0,0.0464,0.126,0.000113,0.0638,0.635,125.999,"hip hop, pop",hip hop,US
Attribute,Jessica Simpson,With You,191826,3.12,FALSE,2003,57,0.553,0.756,0,-4.583,1,0.108,0.0923,0,0.215,0.605,94.487,"pop, R&B",pop,US
Attribute,Mario,Let Me Love You,256733,4.17,FALSE,2004,72,0.656,0.578,7,-8.97,0,0.0922,0.235,0,0.118,0.556,94.514,"pop, R&B",pop,US
Attribute,Kanye West,Gold Digger,207626,3.28,TRUE,2005,78,0.629,0.696,1,-5.572,0,0.348,0.0195,0,0.0554,0.623,93.034,hip hop,hip hop,US
Attribute,James Blunt,You're Beautiful,209493,3.29,TRUE,2005,75,0.675,0.479,0,-9.87,0,0.0278,0.633,1.76E-05,0.088,0.454,81.998,pop,pop,GB
Attribute,Green Day,Boulevard of Broken Dreams,261266,4.21,TRUE,2004,72,0.49,0.679,8,-3.68,1,0.0309,0.00394,1.54E-05,0.0383,0.506,167.046,rock,rock,US
Attribute,Madonna,Hung Up,337733,5.38,FALSE,2005,74,0.649,0.647,9,-7.695,0,0.0452,0.0039,0.161,0.0686,0.405,125.02,pop,pop,US
Attribute,50 Cent,Just A Lil Bit,237706,3.58,TRUE,2005,76,0.489,0.692,1,-6.672,1,0.41,0.0322,0.00608,0.315,0.527,96.946,"hip hop, pop",hip hop,US
Attribute,Eminem,Ass Like That,265480,4.25,TRUE,2004,52,0.646,0.796,2,-6.152,1,0.366,0.409,0,0.107,0.676,83.093,hip hop,hip hop,US
Attribute,Sean Paul,We Be Burnin',213066,3.33,FALSE,2005,59,0.95,0.803,1,-4.195,1,0.151,0.145,0,0.0748,0.86,117,"hip hop, pop",hip hop,JM
Attribute,Gwen Stefani,Rich Girl,236213,3.56,FALSE,2004,68,0.856,0.754,7,-2.728,0,0.0416,0.0294,1.49E-05,0.206,0.722,98.018,"pop, R&B",pop,US
Attribute,50 Cent,Disco Inferno,214226,3.34,TRUE,2005,72,0.925,0.659,3,-4.763,1,0.231,0.206,7.88E-05,0.279,0.71,97.018,"hip hop, pop",hip hop,US
Attribute,Chris Brown,Run It! (feat. Juelz Santana),229866,3.5,FALSE,2005,71,0.846,0.482,1,-6.721,0,0.129,0.0246,0,0.393,0.212,100.969,"hip hop, pop, R&B",hip hop,US
